Product_Variant_ID,product_variant_id,Product_Page,Product_Handle,Product_Title_HE,Product_ID,Product_Available,Price_Max,Price_Min,Published_At,Tags,Variant_Title,Variant_Available,Variant_Qty,Variant_Price,Variant_Currency,Published_Date,Published_Time,Tags_List,Snapshot_Timestamp,qty_change,sales_qty,added_qty,Total_Sales,Total_Added
9863902200093_ירוק ריינג'ר / ירוק ריינג'ר / מדיום,9863902200093_ירוק ריינג'ר / ירוק ריינג'ר / מדיום,https://agilite.co.il/products/%D7%A7%D7%A8%D7%9E%D7%95%D7%9F-%D7%94%D7%AA%D7%A2%D7%A8%D7%91%D7%95%D7%AA-%E2%84%A2sub-zero-%D7%A4%D7%90%D7%A5-%D7%9B%D7%99%D7%AA%D7%AA-%D7%9B%D7%95%D7%A0%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%AA%D7%99%D7%AA,קרמון-התערבות-™sub-zero-פאץ-כיתת-כוננות-משטרתית,קרמון התערבות ™Sub Zero + פאץ' כיתת כוננות משטרתית,9863902200093,True,783.0,783.0,2025-06-04 13:09:27+03:00,,ירוק ריינג'ר / ירוק ריינג'ר / מדיום,True,10,783.0,ILS,2025-06-04,13:09:27,[''],2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
8018935283997_שחור,8018935283997_שחור,https://agilite.co.il/products/pincer-single-556-mag-pouch,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,8018935283997,True,153.0,153.0,2022-11-27 13:38:30+02:00,"newone, SaleIL",שחור,True,55,153.0,ILS,2022-11-27,13:38:30,"['newone', 'SaleIL']",2025-06-18 12:38:00,-1.0,1.0,0.0,2.0,0.0
8018935054621_שחור,8018935054621_שחור,https://agilite.co.il/products/ag3-placard-triple-mag-pouch,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,8018935054621,True,259.0,239.0,2022-11-27 13:38:04+02:00,"Combat Gear, newone, SaleIL",שחור,True,308,259.0,ILS,2022-11-27,13:38:04,"['Combat Gear', 'newone', 'SaleIL']",2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
"9863898661149_שחור / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"") / שחור","9863898661149_שחור / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"") / שחור",https://agilite.co.il/products/%D7%A7%D7%A8%D7%9E%D7%95%D7%9F-%D7%94%D7%AA%D7%A2%D7%A8%D7%91%D7%95%D7%AA-%E2%84%A2sub-zero-%D7%A4%D7%90%D7%A5-%D7%9B%D7%99%D7%AA%D7%AA-%D7%9B%D7%95%D7%A0%D7%A0%D7%95%D7%AA,קרמון-התערבות-™sub-zero-פאץ-כיתת-כוננות,קרמון התערבות ™Sub Zero + פאץ' כיתת כוננות,9863898661149,True,783.0,783.0,2025-06-04 13:09:27+03:00,,"שחור / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"") / שחור",True,8,783.0,ILS,2025-06-04,13:09:27,[''],2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
8018935546141_מולטיקם,8018935546141_מולטיקם,https://agilite.co.il/products/six-pack-hanger-pouch,six-pack-hanger-pouch,Six Pack™ - פאוץ' קנגרו,8018935546141,True,298.0,277.0,2022-11-27 13:38:53+02:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",מולטיקם,False,0,298.0,ILS,2022-11-27,13:38:53,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']",2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
"9863898661149_ירוק ריינג'ר / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"") / ירוק ריינג'ר","9863898661149_ירוק ריינג'ר / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"") / ירוק ריינג'ר",https://agilite.co.il/products/%D7%A7%D7%A8%D7%9E%D7%95%D7%9F-%D7%94%D7%AA%D7%A2%D7%A8%D7%91%D7%95%D7%AA-%E2%84%A2sub-zero-%D7%A4%D7%90%D7%A5-%D7%9B%D7%99%D7%AA%D7%AA-%D7%9B%D7%95%D7%A0%D7%A0%D7%95%D7%AA,קרמון-התערבות-™sub-zero-פאץ-כיתת-כוננות,קרמון התערבות ™Sub Zero + פאץ' כיתת כוננות,9863898661149,True,783.0,783.0,2025-06-04 13:09:27+03:00,,"ירוק ריינג'ר / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"") / ירוק ריינג'ר",True,8,783.0,ILS,2025-06-04,13:09:27,[''],2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
"9863888994589_שחור / לארג' (מתאים לפלטות המשטרתיות של חברת ""שורש"") / ירוק ריינג'ר","9863888994589_שחור / לארג' (מתאים לפלטות המשטרתיות של חברת ""שורש"") / ירוק ריינג'ר",https://agilite.co.il/products/%D7%97%D7%91%D7%99%D7%9C%D7%AA-%D7%9B%D7%99%D7%AA%D7%AA-%D7%9B%D7%95%D7%A0%D7%A0%D7%95%D7%AA-%D7%A4%D7%90%D7%A5-%D7%9B%D7%99%D7%AA%D7%AA-%D7%9B%D7%95%D7%A0%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%AA%D7%99%D7%AA,חבילת-כיתת-כוננות-פאץ-כיתת-כוננות-משטרתית,חבילת כיתת כוננות + פאץ' כיתת כוננות משטרתית,9863888994589,True,999.0,999.0,2025-06-04 13:09:26+03:00,,"שחור / לארג' (מתאים לפלטות המשטרתיות של חברת ""שורש"") / ירוק ריינג'ר",True,10,999.0,ILS,2025-06-04,13:09:26,[''],2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
"9863902200093_ירוק ריינג'ר / שחור / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"")","9863902200093_ירוק ריינג'ר / שחור / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"")",https://agilite.co.il/products/%D7%A7%D7%A8%D7%9E%D7%95%D7%9F-%D7%94%D7%AA%D7%A2%D7%A8%D7%91%D7%95%D7%AA-%E2%84%A2sub-zero-%D7%A4%D7%90%D7%A5-%D7%9B%D7%99%D7%AA%D7%AA-%D7%9B%D7%95%D7%A0%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%AA%D7%99%D7%AA,קרמון-התערבות-™sub-zero-פאץ-כיתת-כוננות-משטרתית,קרמון התערבות ™Sub Zero + פאץ' כיתת כוננות משטרתית,9863902200093,True,783.0,783.0,2025-06-04 13:09:27+03:00,,"ירוק ריינג'ר / שחור / לארג' (תואם לפלטות המשטרתיות של חברת ""שורש"")",True,10,783.0,ILS,2025-06-04,13:09:27,[''],2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
8018935546141_ירוק ריינג'ר,8018935546141_ירוק ריינג'ר,https://agilite.co.il/products/six-pack-hanger-pouch,six-pack-hanger-pouch,Six Pack™ - פאוץ' קנגרו,8018935546141,True,298.0,277.0,2022-11-27 13:38:53+02:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",ירוק ריינג'ר,True,198,277.0,ILS,2022-11-27,13:38:53,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']",2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
9875926548765_Multicam,9875926548765_Multicam,https://agilite.co.il/products/wide-admin-pouch,wide-admin-pouch,Wide Admin Pouch,9875926548765,False,69.9,64.9,2025-06-18 11:09:33+03:00,Low on stock,Multicam,False,0,69.9,ILS,2025-06-18,11:09:33,['Low on stock'],2025-06-18 12:38:00,0.0,0.0,0.0,0.0,0.0
